Name,Group,Type,Source,Time,Price,Link,Description,Name_unlinked
[Systems and complexity](https://learn.civilservice.gov.uk/courses/btroxfDbQjWETY76YgxRdw),Soft OR,Online,Civil Service Learning,3 hours,Free,https://learn.civilservice.gov.uk/courses/btroxfDbQjWETY76YgxRdw,This topic is also suitable for anyone looking to improve the clarity of their thinking around complex issues.,Systems and complexity
[Level 1 (Introductory): Systems Modelling ](https://www.open.edu/openlearn/science-maths-technology/computing-ict/systems-modelling/content-section-0?active-tab=content-tab),Soft OR,Online,OpenLearn,4 hours,Free,https://www.open.edu/openlearn/science-maths-technology/computing-ict/systems-modelling/content-section-0?active-tab=content-tab,"Maps and plans, architects and engineers, drawings, graphs and tables: all are models we use in everyday life. This free course, Systems modelling, will introduce you to the modelling process, enabling you to recognise that systems models may be used in different ways as part of a process for: improving understanding of a situation; identifying problems or formulating opportunities and supporting decision making.",Level 1 (Introductory): Systems Modelling 
[Level 2 (Intermediate): Systems Thinking and Practice](https://www.open.edu/openlearn/science-maths-technology/computing-ict/systems-thinking-and-practice/content-section-0?active-tab=content-tab),Soft OR,Online,OpenLearn,8 hours,Free,https://www.open.edu/openlearn/science-maths-technology/computing-ict/systems-thinking-and-practice/content-section-0?active-tab=content-tab,"What is systems thinking and practice? The essence of systems thinking and practice is in 'seeing' the world in a particular way, because how you 'see' things affects the way you approach situations or undertake specific tasks. This free course will help you to learn about the problems of defining a system and meet some of the key concepts used in systems theory: boundary, environment, positive and negative feedback, etc.",Level 2 (Intermediate): Systems Thinking and Practice
[Level 3 (Advanced): Managing Complexity – A Systems Approach Introduction](https://www.open.edu/openlearn/science-maths-technology/computing-and-ict/systems-computer/managing-complexity-systems-approach/content-section-0?active-tab=description-tab),Soft OR,Online,OpenLearn,20 hours,Free,https://www.open.edu/openlearn/science-maths-technology/computing-and-ict/systems-computer/managing-complexity-systems-approach/content-section-0?active-tab=description-tab,"Do you need to change the way you think when faced with a complex situation? Managing Complexity: A Systems Approach, is a free course that examines how systemic thinking and practice enables you to cope with the connections between things, events and ideas. By taking a broader perspective complexity becomes manageable and it is easier to accept that gaps in knowledge can be acceptable.",Level 3 (Advanced): Managing Complexity – A Systems Approach Introduction
[Level 3 (Advanced): Strategic Planning – Systems Thinking in Practice](https://www.open.edu/openlearn/science-maths-technology/strategic-planning-systems-thinking-practice/content-section-overview?active-tab=content-tab),Soft OR,Online,OpenLearn,20 hours,Free,https://www.open.edu/openlearn/science-maths-technology/strategic-planning-systems-thinking-practice/content-section-overview?active-tab=content-tab,"Strategic planning: systems thinking in practice is a free, two-part course introducing core ideas of systems thinking in practice for managing and improving complex situations. The ideas correspond with three core activities of, firstly, understanding inter-relationships, secondly, engaging with multiple perspectives, and thirdly, reflecting on boundary judgements.
",Level 3 (Advanced): Strategic Planning – Systems Thinking in Practice
[Level 3 (Advanced): Mastering Systems Thinking in Practice](https://www.open.edu/openlearn/science-maths-technology/mastering-systems-thinking-practice/content-section-overview?active-tab=content-tab),Soft OR,Online,OpenLearn,24 hours,Free,https://www.open.edu/openlearn/science-maths-technology/mastering-systems-thinking-practice/content-section-overview?active-tab=content-tab,"Do you want to develop new ways of thinking about and approaching situations that cross multiple discipline and skills boundaries? Do you want to learn to think more holistically about complex and messy situations, understand the roles other people play, taking account of the interconnectedness of all the components making up the problem situations and working more collaboratively? If so, then this free badged course, Mastering systems thinking in practice, is for you.",Level 3 (Advanced): Mastering Systems Thinking in Practice
[Level 3 (Advanced): Diagramming for Development 1 - Bounding Realities](https://www.open.edu/openlearn/science-maths-technology/computing-ict/diagramming-development-1-bounding-realities/content-section-0?active-tab=content-tab),Soft OR,Online,OpenLearn,4 hours,Free,https://www.open.edu/openlearn/science-maths-technology/computing-ict/diagramming-development-1-bounding-realities/content-section-0?active-tab=content-tab,"Diagramming for development 1 - Bounding realities, is a free course that introduces you to the systems diagramming techniques of Rich pictures, Spray diagrams and Systems maps. Using a case study project based in Africa, the course illustrates the use of powerful use of systems diagramming for international development management. This is a companion course to Diagramming for development 2: exploring inter-relationships.",Level 3 (Advanced): Diagramming for Development 1 - Bounding Realities
[Level 3 (Advanced): Diagramming for Development 2 - Exploring Interrelationships](https://www.open.edu/openlearn/science-maths-technology/computing-ict/diagramming-development-2-exploring-interrelationships/content-section-0?active-tab=description-tab),Soft OR,Online,OpenLearn,4 hours,Free,https://www.open.edu/openlearn/science-maths-technology/computing-ict/diagramming-development-2-exploring-interrelationships/content-section-0?active-tab=description-tab,"Diagramming for development 2 - Exploring interrelationships, is a free course that introduces you to the diagramming techniques of Influence diagrams, Multiple Cause Diagrams and Cognitive Maps. Using a case study project based in Africa, this unit illustrates the powerful use of systems diagramming for international development management. This is a companion course to Diagramming for development 1: bounding realities.",Level 3 (Advanced): Diagramming for Development 2 - Exploring Interrelationships
[The Fifth Discipline](https://www.goodreads.com/book/show/255127.The_Fifth_Discipline),Soft OR,Book,Peter M. Senge,N/A,N/A,https://www.goodreads.com/book/show/255127.The_Fifth_Discipline,"This is a book focusing on group problem solving using the systems thinking method in order to convert companies into learning organizations. The five disciplines represent approaches (theories and methods) for developing three core learning capabilities: fostering aspiration, developing reflective conversation, and understanding complexity.",The Fifth Discipline
[Business Dynamics: Systems Thinking and Modeling for a Complex World](https://www.amazon.co.uk/Business-Dynamics-Systems-Thinking-Modeling/dp/0071179895),Soft OR,Book,John D. Sterman,N/A,N/A,https://www.amazon.co.uk/Business-Dynamics-Systems-Thinking-Modeling/dp/0071179895,A clear and detailed course for developing Systems Dynamics models and systems thinking. Contains insightful real-world examples and applications. Long but worth it for someone looking to become a practitioner.,Business Dynamics: Systems Thinking and Modeling for a Complex World
[Impact Evaluation in Practice](https://www.worldbank.org/en/programs/sief-trust-fund/publication/impact-evaluation-in-practice),Soft OR,Online (book),Misc.,N/A,Free,https://www.worldbank.org/en/programs/sief-trust-fund/publication/impact-evaluation-in-practice,"The book incorporates real-world examples to present practical guidelines for designing and implementing impact evaluations. Readers will gain an understanding of impact evaluation and the best ways to use impact evaluations to design evidence-based policies and programs. The updated version covers the newest techniques for evaluating programs and includes state-of-the-art implementation advice, as well as an expanded set of examples and case studies that draw on recent development challenges. It also includes new material on research ethics and partnerships to conduct impact evaluation.",Impact Evaluation in Practice
[Public Systems Modeling](https://link.springer.com/book/10.1007/978-3-030-93986-1),Soft OR,Online (book),Daniel P. Loucks,N/A,Free,https://link.springer.com/book/10.1007/978-3-030-93986-1,"This is an open access book discusses readers to various methods of modeling plans and policies that address public sector issues and problems. Written for public policy and social sciences students at the upper undergraduate and graduate level, as well as public sector decision-makers, it demonstrates and compares the development and use of various deterministic and probabilistic optimization and simulation modeling methods for analysing planning and management issues. These modeling tools offer a means of identifying and evaluating alternative plans and policies based on their physical, economic, environmental, and social impacts. Learning how to develop and use the mathematical modeling tools introduced in this book will give students useful skills when in positions of having to make informed public policy recommendations or decisions.",Public Systems Modeling
[How to design and deliver high impact data analytics projects](https://www.theorsociety.com/training/online-training/),OR Society,Online,OR Society,1 day,See OR Society,https://www.theorsociety.com/training/online-training/,"Many commercial or public sector organisations employ data analysts and data scientists to help them solve some of the most pressing tactical or strategic business problems. However, very few of the projects that are worked on make a tangible impact. This course will prepare delegate to tackle such situations, manage and embed high quality analytics products while teaching them to provide and maintain analytics service, which will be trusted by high-level executives.",How to design and deliver high impact data analytics projects
[Effective Analytical Leadership](https://rss.org.uk/training-events/training/public-courses/professional-development/effective-analytical-leadership/),General Analytical Skills,Face to face,RSS,2 days,See RSS,https://rss.org.uk/training-events/training/public-courses/professional-development/effective-analytical-leadership/,"To meet the needs of the modern global business agenda, analytical leaders need to perform a complex role. This course explores the required range of knowledge, skills and behaviours to meet this new agenda.",Effective Analytical Leadership
[Data Camp courses](https://www.datacamp.com/),Programming/Data Science,Online,datacamp,4 hours,Monthly or yearly subscription approx £200,https://www.datacamp.com/,"Online interactive platform  teaching a wide range of coding and data science courses, including python, machine learning, R, and many more. The courses can be run on your browser and are taught using videos and interactive tutorials. ",Data Camp courses
[Uncertainty Toolkit](https://analystsuncertaintytoolkit.github.io/UncertaintyWeb/index.html),General Analytical Skills,Online,X-government working group,N/A,Free,https://analystsuncertaintytoolkit.github.io/UncertaintyWeb/index.html,"This toolkit is a suggested set of guidelines to help analysts assess and communicate uncertainty. It sets out good practice, which can then be tailored to the audience and decisions being made. It is aimed at all analysts, whether you are new to the Government or an experienced analyst looking to develop the way you communicate uncertainty to stakeholders.",Uncertainty Toolkit
[GSS training resource](https://gss.civilservice.gov.uk/training-courses/),Other GORS Resources,Online,GSS,N/A,N/A,https://gss.civilservice.gov.uk/training-courses/,"A list of courses recommended by the Government Statistical Service. Although written for statisticians, this has lots of relevant and useful courses for OR's",GSS training resource
[Human Environment Analysis Reasoning Tool](https://cmapspublic3.ihmc.us/rid=1M8NGW12P-30GS0J-1G3P/SAS-074%20Process%20View.cmap),Soft OR,Online,Phil Jones (DSTL),N/A,N/A,https://cmapspublic3.ihmc.us/rid=1M8NGW12P-30GS0J-1G3P/SAS-074%20Process%20View.cmap,"Help analysts understand the human and social environment, develop effective courses of action, and make use of appropriate analysis methods. ",Human Environment Analysis Reasoning Tool
